이름,WAR,game,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷출루,피사구,피고의사구,피삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,WPA,Position,Player,Salary
김상수,0.56,72,260,235,30,59,11,0,2,76,29,2,1,18,1,0,44,6,4,2, .251 , .305 , .323 , .628 , .291 , 75.2 ,0.56,-0.79,Batter,김상수,25000.0
김상수,0.56,72,260,235,30,59,11,0,2,76,29,2,1,18,1,0,44,6,4,2, .251 , .305 , .323 , .628 , .291 , 75.2 ,0.56,-0.79,Batter,김상수,30000.0
박준영,0.53,75,240,208,27,45,8,1,4,67,19,7,2,27,1,0,54,6,3,1, .216 , .308 , .322 , .630 , .295 , 78.9 ,0.53,-1.16,Batter,박준영,7000.0
박준영,0.53,75,240,208,27,45,8,1,4,67,19,7,2,27,1,0,54,6,3,1, .216 , .308 , .322 , .630 , .295 , 78.9 ,0.53,-1.16,Batter,박준영,3000.0
오선진,0.53,100,306,268,30,74,8,0,3,91,24,2,2,18,3,0,51,5,16,1, .276 , .328 , .340 , .667 , .299 , 79.9 ,0.53,-0.72,Batter,오선진,7000.0
최주환,0.52,97,333,298,36,63,14,2,9,108,41,0,0,29,4,2,55,5,0,2, .211 , .288 , .362 , .651 , .298 , 79.1 ,0.52,-0.42,Batter,최주환,65000.0
김대한,0.5,51,110,96,13,23,6,1,4,43,11,2,1,5,6,0,27,0,2,1, .240 , .315 , .448 , .763 , .339 , 115.5 ,0.5,-0.09,Batter,김대한,3000.0
권희동,0.49,82,280,238,30,53,5,1,5,75,22,2,1,31,8,1,44,3,2,1, .223 , .331 , .315 , .646 , .307 , 87.4 ,0.49,0.39,Batter,권희동,11000.0
지시완,0.48,75,199,174,16,37,7,0,3,53,17,0,0,20,2,1,55,7,2,1, .213 , .300 , .305 , .604 , .283 , 68.3 ,0.48,-0.31,Batter,지시완,6000.0
이우성,0.44,80,137,120,23,35,7,0,1,45,12,1,3,12,1,0,20,5,4,0, .292 , .361 , .375 , .736 , .337 , 106.9 ,0.44,-1.03,Batter,이우성,4100.0
양찬열,0.43,41,94,82,15,20,4,0,3,33,12,0,0,11,0,0,23,2,1,0, .244 , .333 , .402 , .736 , .337 , 113.1 ,0.43,0.38,Batter,양찬열,3000.0
고종욱,0.4,62,114,106,13,30,7,1,2,45,14,1,0,7,0,0,21,2,1,0, .283 , .327 , .425 , .752 , .341 , 110.4 ,0.4,0.63,Batter,고종욱,7000.0
김주형,0.33,55,130,110,16,22,7,1,1,34,5,1,0,4,13,0,29,4,2,1, .200 , .305 , .309 , .614 , .291 , 76.0 ,0.33,-0.93,Batter,김주형,4500.0
